xml |xml |XML ,1326.0
office |Office ,756.0
open xml |Open XML ,502.0
office open xml |Office Open XML ,474.0
office open |Office Open ,464.0
document |document |documents |Documents ,423.0
file |files |file ,323.0
microsoft |Microsoft ,278.0
format |format |formats ,231.0
support |support |Support ,215.0
window |Windows ,201.0
character |Characters |characters |character ,160.0
text |texts |text ,139.0
mac os x |Mac OS X ,135.0
schema |schema |schemas |Schema |Schemas ,109.0
application |application |applications |Applications ,102.0
word |Word ,100.0
use |use ,100.0
mac |Mac ,98.0
element |element |elements ,96.0
microsoft office |Microsoft Office ,94.0
editor |editor |Editor |editors ,91.0
language |languages |language ,87.0
docx |Docx |DOCX |docx ,84.0
version |versions |version ,83.0
xml document |XML document |XML documents ,78.0
office open xml file |Office Open XML files ,76.0
file format |file formats ,76.0
openoffice |OpenOffice ,74.0
openoffice org |OpenOffice org ,72.0
spreadsheet |spreadsheets |spreadsheet ,70.0
ibm |IBM |ibm |Ibm ,70.0
markup |markup |Markup ,70.0
apple |Apple ,68.0
linux |Linux ,67.0
no no |No No ,64.0
text document |Text documents |text documents ,62.0
office open xml text |Office Open XML text ,62.0
translation |Translation |translation ,60.0
unicode |Unicode ,60.0
attribute |Attributes |attribute |attributes ,56.0
editing |editing |Editing ,54.0
open xml file format |Open XML file formats ,52.0
java |Java ,52.0
xml file format |XML file formats ,52.0
xml editor |XML editors |XML editor |XML Editor |XML Editors ,51.0
office open xml file format |Office Open XML File Formats |Office Open XML file formats ,50.0
html |HTML ,50.0
xlsx |XLSX |xlsx ,48.0
feature |features |feature |Features ,48.0
encoding |encodings |encoding |Encodings ,46.0
example |Examples |example |examples ,45.0
office open xml text document |Office Open XML text documents ,44.0
list |list |List ,44.0
content |content |contents |Contents ,44.0
net |NET ,42.0
syntax |syntax |syntaxes ,42.0
sgml |SGML ,42.0
type |type |types ,40.0
specification |specification |specifications ,40.0
writer |Writer ,38.0
article |articles |article |Articles ,38.0
code |code |Code ,38.0
product |product |Products |products ,38.0
xslt |xslt |XSLT |XSLTs ,37.0
oxygen |Oxygen |oXygen ,35.0
presentation document |presentation documents |Presentation documents ,34.0
proprietary yes standalone |Proprietary Yes Standalone ,34.0
office open xml format |Office Open XML formats |Office Open XML format ,34.0
internet |Internet ,34.0
office open xml document |Office Open XML documents ,34.0
pdf |PDFs |PDF ,33.0
spreadsheet document |Spreadsheet documents |spreadsheet documents ,32.0
xml schema |XML Schema |XML schema |XML Schemas ,32.0
platform |platform ,31.0
iso |ISO ,30.0
converter |converter |converters ,30.0
word processor |word processors |word processor |Word processors ,30.0
information |information ,30.0
