uml |UML ,102.0
code |code |Code ,42.0
model |models |model |Model ,42.0
diagram |diagram |diagrams ,40.0
uml tool |UML tools |UML Tools |UML tool ,37.0
tool |tools |Tools ,24.0
component |component |components ,22.0
unified modeling language |Unified Modeling Language ,22.0
edit |edit ,22.0
article |articles |article |Articles ,22.0
code generation |Code generation |code generation ,18.0
uml diagram |UML diagrams ,18.0
reverse engineering |Reverse engineering |reverse engineering ,14.0
source code |source code ,14.0
program source |program source ,12.0
page |page |Page |pages ,12.0
design |design ,12.0
level |level ,10.0
list |list |List ,9.0
notation |notation ,8.0
wikibook |Wikibooks ,8.0
developer |developers ,8.0
provided |provided ,8.0
citation |citation |citations ,8.0
required |required ,8.0
user |user ,8.0
category |category ,7.0
wikipedia |Wikipedia ,7.0
system |system ,6.0
introduction |Introduction ,6.0
idea |idea ,6.0
use |use ,6.0
software uml |Software UML ,6.0
detail |detail ,6.0
navigation |navigation ,6.0
example |example ,6.0
program source code |program source code ,6.0
required interface |required interfaces ,6.0
functionality |functionality ,6.0
qvt |QVT ,6.0
provided and required interface |provided and required interfaces ,6.0
round-trip engineering |Round-trip engineering ,6.0
symbol |symbols ,6.0
term |terms ,6.0
context |context ,6.0
uml model |UML models ,6.0
encyclopedia jump |encyclopedia Jump ,5.0
log |Log |log ,4.0
content |content |Contents ,4.0
additional reference |additional references ,4.0
v t e |v t e ,4.0
unsourced statement |unsourced statements ,4.0
xmi |XMI ,4.0
software developer |software developers ,4.0
help |help ,4.0
dmoz |DMOZ ,4.0
information |information ,4.0
title |title |Titles ,4.0
stub |stub ,4.0
div |div ,4.0
uml notation |UML notation ,4.0
standard |standard ,4.0
problem |problem ,4.0
object-oriented software |object-oriented software ,4.0
unified modeling language tool |Unified Modeling Language tools ,3.0
search |search ,3.0
site |site ,3.0
question |questions ,3.0
function template |function templates ,2.0
model-driven architecture mda |Model-driven architecture MDA ,2.0
meaningfulness |meaningfulness ,2.0
inria |INRIA ,2.0
en wikipedia |en wikipedia ,2.0
uml diagrams or software-requirements document |UML diagrams or software-requirements documents ,2.0
component diagram |component diagrams ,2.0
graphical notation |graphical notation ,2.0
